- Data collection timestamp: 2023-6-9  21:29:29

--- BIOS Attributes ---
Attribute Name: AcPwrRcvry	Attribute Value: Last
Attribute Name: AcPwrRcvryDelay	Attribute Value: Immediate
Attribute Name: AcPwrRcvryUserDelay	Attribute Value: 120
Attribute Name: AesNi	Attribute Value: Enabled
Attribute Name: AssetTag	Attribute Value: 
Attribute Name: AuthorizeDeviceFirmware	Attribute Value: Disabled
Attribute Name: AvxIccpPreGrantLicense	Attribute Value: Disabled
Attribute Name: BiosNvmeDriver	Attribute Value: DellQualifiedDrives
Attribute Name: BootMode	Attribute Value: Uefi
Attribute Name: BootSeqRetry	Attribute Value: Enabled
Attribute Name: CECriticalSEL	Attribute Value: Disabled
Attribute Name: ConTermType	Attribute Value: Vt100Vt220
Attribute Name: ControlledTurbo	Attribute Value: Disabled
Attribute Name: ControlledTurboMinusBin	Attribute Value: 0
Attribute Name: CorrEccSmi	Attribute Value: Enabled
Attribute Name: CpuCrashLogControl	Attribute Value: Disabled
Attribute Name: CpuInterconnectBusLinkPower	Attribute Value: Disabled
Attribute Name: CpuPaLimit	Attribute Value: Enabled
Attribute Name: CurrentEmbVideoState	Attribute Value: Enabled
Attribute Name: Daylight	Attribute Value: Disabled
Attribute Name: DcuIpPrefetcher	Attribute Value: Disabled
Attribute Name: DcuStreamerPrefetcher	Attribute Value: Disabled
Attribute Name: DeadLineLlcAlloc	Attribute Value: Disabled
Attribute Name: DellAutoDiscovery	Attribute Value: PlatformDefault
Attribute Name: DellWyseP25BIOSAccess	Attribute Value: Enabled
Attribute Name: DimmSlot00	Attribute Value: Enabled
Attribute Name: DimmSlot01	Attribute Value: Enabled
Attribute Name: DimmSlot02	Attribute Value: Enabled
Attribute Name: DimmSlot03	Attribute Value: Enabled
Attribute Name: DimmSlot04	Attribute Value: Enabled
Attribute Name: DimmSlot05	Attribute Value: Enabled
Attribute Name: DimmSlot06	Attribute Value: Enabled
Attribute Name: DimmSlot07	Attribute Value: Enabled
Attribute Name: DimmSlot08	Attribute Value: Enabled
Attribute Name: DimmSlot09	Attribute Value: Enabled
Attribute Name: DimmSlot10	Attribute Value: Enabled
Attribute Name: DimmSlot11	Attribute Value: Enabled
Attribute Name: DimmSlot12	Attribute Value: Enabled
Attribute Name: DimmSlot13	Attribute Value: Enabled
Attribute Name: DimmSlot14	Attribute Value: Enabled
Attribute Name: DimmSlot15	Attribute Value: Enabled
Attribute Name: DimmSlot16	Attribute Value: Enabled
