
--- BIOS Attributes ---

('AcPwrRcvry', 'Last')
('AcPwrRcvryDelay', 'Immediate')
('AcPwrRcvryUserDelay', 120)
('AesNi', 'Enabled')
('AssetTag', '')
('AuthorizeDeviceFirmware', 'Disabled')
('AvxIccpPreGrantLicense', 'Disabled')
('BiosNvmeDriver', 'DellQualifiedDrives')
('BootMode', 'Uefi')
('BootSeqRetry', 'Enabled')
('CECriticalSEL', 'Disabled')
('ConTermType', 'Vt100Vt220')
('ControlledTurbo', 'Disabled')
('ControlledTurboMinusBin', 0)
('CorrEccSmi', 'Enabled')
('CpuCrashLogControl', 'Disabled')
('CpuInterconnectBusLinkPower', 'Disabled')
('CpuPaLimit', 'Enabled')
('CurrentEmbVideoState', 'Enabled')
('Daylight', 'Disabled')
('DcuIpPrefetcher', 'Disabled')
('DcuStreamerPrefetcher', 'Disabled')
('DeadLineLlcAlloc', 'Disabled')
('DellAutoDiscovery', 'PlatformDefault')
('DellWyseP25BIOSAccess', 'Enabled')
('DimmSlot00', 'Enabled')
('DimmSlot01', 'Enabled')
('DimmSlot02', 'Enabled')
('DimmSlot03', 'Enabled')
('DimmSlot04', 'Enabled')
('DimmSlot05', 'Enabled')
('DimmSlot06', 'Enabled')
('DimmSlot07', 'Enabled')
('DimmSlot08', 'Enabled')
('DimmSlot09', 'Enabled')
('DimmSlot10', 'Enabled')
('DimmSlot11', 'Enabled')
('DimmSlot12', 'Enabled')
('DimmSlot13', 'Enabled')
('DimmSlot14', 'Enabled')
('DimmSlot15', 'Enabled')
('DimmSlot16', 'Enabled')
('DimmSlot17', 'Enabled')
('DimmSlot18', 'Enabled')
('DimmSlot19', 'Enabled')
('DimmSlot20', 'Enabled')
('DimmSlot21', 'Enabled')
('DimmSlot22', 'Enabled')
('DimmSlot23', 'Enabled')
('DimmSlot24', 'Enabled')
('DimmSlot25', 'Enabled')
('DimmSlot26', 'Enabled')
('DimmSlot27', 'Enabled')
('DimmSlot28', 'Enabled')
('DimmSlot29', 'Enabled')
('DimmSlot30', 'Enabled')
('DimmSlot31', 'Enabled')
('DirectoryAtoS', 'Disabled')
('DirectoryMode', 'Enabled')
('DynamicIss', 'Disabled')
('EmbNic1Nic2', 'Enabled')
('EmbSata', 'AhciMode')
('EmbVideo', 'Enabled')
('EnableTmeBypass', 'Disabled')
('EnergyEfficientTurbo', 'Disabled')
('EnergyPerformanceBias', 'MaxPower')
('ErrPrompt', 'Disabled')
('ExtSerialConnector', 'Serial1')
('FailSafeBaud', '115200')
('ForceInt10', 'Disabled')
('GenericUsbBoot', 'Disabled')
('HddFailover', 'Disabled')
('HddPlaceholder', 'Disabled')
('HttpDev1DhcpEnDis', 'Enabled')
('HttpDev1Dns1', '')
('HttpDev1Dns2', '')
('HttpDev1DnsDhcpEnDis', 'Enabled')
('HttpDev1EnDis', 'Disabled')
('HttpDev1Gateway', '')
('HttpDev1Interface', 'NIC.Embedded.1-1-1')
('HttpDev1Ip', '')
('HttpDev1Mask', '')
('HttpDev1Protocol', 'IPv4')
('HttpDev1TlsMode', 'OneWay')
('HttpDev1Uri', '')
('HttpDev1VlanEnDis', 'Disabled')
('HttpDev1VlanId', 1)
('HttpDev1VlanPriority', 0)
('HttpDev2DhcpEnDis', 'Enabled')
('HttpDev2Dns1', '')
('HttpDev2Dns2', '')
('HttpDev2DnsDhcpEnDis', 'Enabled')
('HttpDev2EnDis', 'Disabled')
('HttpDev2Gateway', '')
('HttpDev2Interface', 'NIC.Embedded.1-1-1')
('HttpDev2Ip', '')
('HttpDev2Mask', '')
('HttpDev2Protocol', 'IPv4')
('HttpDev2TlsMode', 'OneWay')
('HttpDev2Uri', '')
('HttpDev2VlanEnDis', 'Disabled')
('HttpDev2VlanId', 1)
('HttpDev2VlanPriority', 0)
('HttpDev3DhcpEnDis', 'Enabled')
('HttpDev3Dns1', '')
('HttpDev3Dns2', '')
('HttpDev3DnsDhcpEnDis', 'Enabled')
('HttpDev3EnDis', 'Disabled')
('HttpDev3Gateway', '')
('HttpDev3Interface', 'NIC.Embedded.1-1-1')
('HttpDev3Ip', '')
('HttpDev3Mask', '')
('HttpDev3Protocol', 'IPv4')
('HttpDev3TlsMode', 'OneWay')
('HttpDev3Uri', '')
('HttpDev3VlanEnDis', 'Disabled')
('HttpDev3VlanId', 1)
('HttpDev3VlanPriority', 0)
('HttpDev4DhcpEnDis', 'Enabled')
('HttpDev4Dns1', '')
('HttpDev4Dns2', '')
('HttpDev4DnsDhcpEnDis', 'Enabled')
('HttpDev4EnDis', 'Disabled')
('HttpDev4Gateway', '')
('HttpDev4Interface', 'NIC.Embedded.1-1-1')
('HttpDev4Ip', '')
('HttpDev4Mask', '')
('HttpDev4Protocol', 'IPv4')
('HttpDev4TlsMode', 'OneWay')
('HttpDev4Uri', '')
